class,month,sd,mean,lower,upper,lower_q,upper_q,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Forestland,Jun,9069.100926510228,104925.00824194527,87149.8970538264,122700.11943006414,86593.87161531916,123001.17100954565,8453844.680323876,4054573.3750716955,12853115.985576058,4091050.355723415,12819194.53737505,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Mar,8286.990425780079,97441.66688630728,81199.46411155009,113683.86966106448,80554.21250360421,113611.32836120934,7812990.5887304405,3724562.6869468074,11901418.490514075,3737490.2277483037,11868538.151331898,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,May,6710.9295252171205,81452.63405804441,68299.45388583236,94605.81423025645,67721.40748737902,94405.23636234243,6466798.402062309,3040871.7017773995,9892725.10234722,3014016.627207793,9850505.057106527,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Nov,7613.609861768589,90752.50256380641,75830.101442401,105674.90368521182,75264.08672013164,105466.27982909155,7272717.318282139,3447030.803264068,11098403.833300209,3443541.338197253,11066896.586851967,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Oct,6119.883721029368,75133.66959383716,63138.91791104663,87128.42127662769,62576.698478602826,87078.612615652135,5971481.854047146,2792181.1739022885,9150782.534192001,2766185.8912604535,9114058.410326952,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Forestland,Sep,8530.473866445926,99800.03897590494,83080.61742661078,116519.4605251991,82372.72871965884,116590.62582560912,8069727.397793725,3853814.3335178844,12285640.462069565,3879306.8174796505,12249902.945852611,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Apr,850014.6262862356,3233309.947426728,1567311.893573433,4899308.001280023,1531735.9826296563,4917104.765697583,6585676.5059218565,3099573.7831315203,10071779.228712194,3076634.2650492955,10031088.959818974,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Aug,1268544.6026714824,5052202.742834523,2565901.008815746,7538504.476853301,2513165.105873401,7566183.2743796175,10238654.10862045,4988183.620262949,15489124.596977955,5040992.322713002,15460627.57090869,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Dec,1088065.5940595877,4248958.765952658,2116389.388778688,6381528.143126627,2071041.7596784956,6404890.34884953,8624950.431301504,4142081.425170674,13107819.437432332,4182184.0810119784,13076522.560608072,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Feb,1166478.7083347468,4594345.612310212,2308089.3552413066,6880601.869379118,2259530.003321713,6905830.100018218,9305150.180099864,4497053.319960042,14113247.040239688,4548878.417789296,14092165.27517839,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
