month,GHG,class,mean,sd,min,max,lower,upper,lower_quantile,upper_quantile,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Apr,N2O,Barren,64.70856006375729,14.620753067481347,7.003817880102512,111.58958399058368,36.05241062464034,93.36470950287423,36.853504248422354,92.39616258857485,1649.1086361736072,1027.5776318216006,2270.6396405256137,1041.3656249695437,2257.719521010127,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Apr,N2O,Cropland,475.1452673947132,274.9934606003985,-447.8434114762834,1230.8434698940812,-63.832011366102165,1014.1225461555285,-51.73479662731259,1005.2981213747056,1649.1086361736072,1027.5776318216006,2270.6396405256137,1041.3656249695437,2257.719521010127,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Apr,N2O,Forestland,18.226015238325026,10.9645699107465,-13.004977412794233,56.323693840249994,-3.2641468927096646,39.71617736935971,-2.58361063026284,38.630497851985126,1649.1086361736072,1027.5776318216006,2270.6396405256137,1041.3656249695437,2257.719521010127,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Apr,N2O,Grassland,1088.5257369406684,16.460466217699956,1040.2564473925013,1141.5922535076654,1056.2638159852381,1120.7876578960986,1056.4722124689888,1118.7502886469945,1649.1086361736072,1027.5776318216006,2270.6396405256137,1041.3656249695437,2257.719521010127,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Apr,N2O,Wetland,2.503056536143297,0.07423251996310588,2.291877823925006,2.7194806585915408,2.3575634705339588,2.648549601752635,2.3583155097078587,2.644450547867283,1649.1086361736072,1027.5776318216006,2270.6396405256137,1041.3656249695437,2257.719521010127,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Aug,CH4,Barren,-14.253849886378383,10.140124694666271,-46.294092538900564,19.105124618099882,-34.12812908666948,5.620429313912716,-34.02258683055023,5.572145940867508,-416.26777934392754,-926.0109609051667,93.47540221731154,-938.2099373430777,98.20220331935853,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Aug,CH4,Cropland,-47.899074251914286,84.39465032079997,-278.33937410598384,179.65474454901687,-213.3095493685339,117.51140086470532,-216.44976747284238,114.67226479400219,-416.26777934392754,-926.0109609051667,93.47540221731154,-938.2099373430777,98.20220331935853,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Aug,CH4,Forestland,-111.44118200026476,0.7617594520362307,-113.9487607047419,-109.08326691129211,-112.93420309113874,-109.94816090939078,-112.95175392436215,-109.98735205439279,-416.26777934392754,-926.0109609051667,93.47540221731154,-938.2099373430777,98.20220331935853,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Aug,CH4,Grassland,-257.21967116717104,164.69904899551216,-785.5866107104157,281.48278081900816,-580.0238754863726,65.58453315203047,-589.1716482396089,73.23561330763819,-416.26777934392754,-926.0109609051667,93.47540221731154,-938.2099373430777,98.20220331935853,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Aug,CH4,Wetland,14.545997961800952,0.08224734511675032,14.281540808191494,14.804031925058856,14.384796127548086,14.707199796053818,14.385819124285991,14.709531331243427,-416.26777934392754,-926.0109609051667,93.47540221731154,-938.2099373430777,98.20220331935853,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Aug,CO2,Barren,113610.90377357045,34279.72028402434,8023.790625004175,224526.8689272503,46423.886616775606,180797.92093036528,50375.51470959201,183019.00995204787,9243226.342473315,4011224.347948264,14475228.336998366,4028217.081722596,14446648.338268813,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Aug,CO2,Cropland,4571093.856080533,1348066.4324879125,646060.6330109177,8883789.046212515,1928932.199636829,7213255.512524237,1996373.4315875834,7173846.307857032,9243226.342473315,4011224.347948264,14475228.336998366,4028217.081722596,14446648.338268813,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Aug,CO2,Forestland,123018.24682701167,9285.472320130162,92560.58895867504,149932.12643123357,104819.05550011297,141217.43815391036,104960.46365541162,141150.25604542752,9243226.342473315,4011224.347948264,14475228.336998366,4028217.081722596,14446648.338268813,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Aug,CO2,Grassland,4398006.306979396,1268470.7060297348,795493.2560313344,8222945.778722505,1911849.4077170226,6884163.20624177,1857314.776139975,6893999.138054124,9243226.342473315,4011224.347948264,14475228.336998366,4028217.081722596,14446648.338268813,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Aug,CO2,Wetland,37497.028812803925,9335.493141510175,8775.944789708281,67633.19929116964,19199.7984775233,55794.259148084544,19192.895630033938,54633.62636018197,9243226.342473315,4011224.347948264,14475228.336998366,4028217.081722596,14446648.338268813,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Aug,N2O,Barren,139.51151574027818,31.52231203566974,15.100216222691566,240.58690207316735,77.72891944093203,201.29411203962434,79.45607556361462,199.20592698426654,3770.0685341753174,2325.773201940869,5214.363866409767,2357.804857351993,5184.536966789506,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Aug,N2O,Cropland,1110.74050138269,642.8483987203597,-1046.9173314755026,2877.325707925076,-149.21920762845934,2370.7002103938394,-120.93971652045477,2350.07147497718,3770.0685341753174,2325.773201940869,5214.363866409767,2357.804857351993,5184.536966789506,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Aug,N2O,Forestland,41.510346504514274,24.972166999564283,-29.619261897316694,128.27905700455813,-7.434201430551376,90.45489443957993,-5.884257809104768,87.9822237888803,3770.0685341753174,2325.773201940869,5214.363866409767,2357.804857351993,5184.536966789506,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Aug,N2O,Grassland,2472.830304593043,37.3936401405309,2363.1757893848358,2593.3827967142474,2399.540116666751,2546.1204925193347,2400.0135360109275,2541.492151405989,3770.0685341753174,2325.773201940869,5214.363866409767,2357.804857351993,5184.536966789506,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Aug,N2O,Wetland,5.475865954792026,0.16239638335510545,5.013876261799851,5.949330883300111,5.157574892196459,5.794157017387592,5.159220107010757,5.785189633189505,3770.0685341753174,2325.773201940869,5214.363866409767,2357.804857351993,5184.536966789506,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Dec,CH4,Barren,-11.409749060671704,8.11684416016116,-37.0569343069504,15.293038680991685,-27.318471282711833,4.498973161368427,-27.23398809625591,4.460323871902975,-326.26186421801566,-724.8777451430786,72.35401670704736,-734.4147874667409,76.08396446250559,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Dec,CH4,Cropland,-37.14944058503267,65.45458543307576,-215.8737345620581,139.33616385447507,-165.43807065686119,91.13918948679586,-167.87355292267745,88.93721964878611,-326.26186421801566,-724.8777451430786,72.35401670704736,-734.4147874667409,76.08396446250559,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Dec,CH4,Forestland,-87.38077650680825,0.5972938480687693,-89.34696324689169,-85.53194066609983,-88.55145093721038,-86.21010207640612,-88.5652125054922,-86.24083176378221,-326.26186421801566,-724.8777451430786,72.35401670704736,-734.4147874667409,76.08396446250559,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Dec,CH4,Grassland,-201.6947422061575,129.1461577491852,-616.0053319750829,220.72027638922495,-454.81656013628884,51.427075723973815,-461.9896416462272,57.42654937457096,-326.26186421801566,-724.8777451430786,72.35401670704736,-734.4147874667409,76.08396446250559,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Dec,CH4,Wetland,11.372844140654482,0.06430540135179062,11.166077303633452,11.574588981743242,11.24680786999358,11.498880411315385,11.247607703911822,11.500703331027761,-326.26186421801566,-724.8777451430786,72.35401670704736,-734.4147874667409,76.08396446250559,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Dec,CO2,Barren,98717.81652978859,29786.041878825814,6971.963645065902,195093.97000266612,40338.24720528824,157097.38585428894,43771.86214984584,159027.31556404536,7902307.958145396,3429607.2559967265,12375008.660294065,3443823.005821774,12350756.299601821,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Dec,CO2,Cropland,3893519.491124426,1148242.2141125684,550294.9067059495,7566942.81401666,1643006.105935263,6144032.8763135895,1700450.507510261,6110465.307732586,7902307.958145396,3429607.2559967265,12375008.660294065,3443823.005821774,12350756.299601821,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Dec,CO2,Forestland,105522.13074962368,7964.857649244414,79396.27512407489,128608.21753616694,89911.29661511628,121132.96488413108,90032.59317264611,121075.33766689869,7902307.958145396,3429607.2559967265,12375008.660294065,3443823.005821774,12350756.299601821,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
